SRS_Endotype,emmean,SE,df,lower.CL,upper.CL,Gene
Mars1,9.562332400566724,0.06008165268274948,472,9.444271792238792,9.680393008894656,LGALS1
Mars2,10.055715858076237,0.04812387734694594,472,9.961152310287703,10.15027940586477,LGALS1
Mars3,9.668978700376494,0.056675489444661616,472,9.557611211927874,9.780346188825114,LGALS1
Mars4,9.17465147033472,0.08436236129135534,472,9.008879204604455,9.340423736064984,LGALS1
Mars1,11.441137214924034,0.050586758409436446,472,11.341734099255897,11.54054033059217,LGALS3
Mars2,10.664680673739213,0.04051870826406711,472,10.585061303553491,10.744300043924934,LGALS3
Mars3,10.882023394733375,0.04771888195906541,472,10.788255663965982,10.975791125500768,LGALS3
Mars4,10.438662210180478,0.0710303095693754,472,10.29908746176665,10.578236958594307,LGALS3
Mars1,3.31154384598304,0.045416740795074406,472,3.222299828764486,3.400787863201594,LGALS9
Mars2,3.1666586175520206,0.0363776555059334,472,3.0951764271194073,3.238140807984634,LGALS9
Mars3,3.3973606309028264,0.04284196420384466,472,3.3131760565773334,3.4815452052283193,LGALS9
Mars4,3.8134113436874952,0.06377094045433966,472,3.6881012750141458,3.9387214123608447,LGALS9
