Module,Kruskal_p,Kruskal_p_adj
N_branching_score,4.509043422947835e-17,5.636304278684794e-17
LacNAc_score,4.130736933478637e-34,1.0326842333696593e-33
Core1_O_score,6.0911356095493934e-37,3.045567804774697e-36
Sialylation_score,1.271584053895772e-12,1.271584053895772e-12
Fucosylation_score,1.2794735712094634e-32,2.1324559520157725e-32
